name,email_address,social_security_num,gender_age,ethnicity,movie1,movie2,movie3,movie4,movie5
Tara Baker,mike50@example.net,575-07-9932,Female 18-24,Caucasian or White,Finding nemo,A bug's life,Meet the robinsons,Tangled,We're the Millers
Joshua Lee,hstokes@example.com,211-08-3991,Male 25-34,Caucasian or White,Saving Private Ryan,Platoon,300,Hamburger Hill,Black Hawk Down
Erin Hernandez,sarahgonzales@example.com,225-09-4500,Male 14-17,Caucasian or White,Twister,Jaws,Jurassic Park,The Lego Movie,Pulp Fiction
James Smith,littlekyle@example.net,061-24-7581,Female 14-17,Caucasian or White,Big Fish,31,Night of the Living Dead, , 
Carla Williams,ruth50@example.org,461-36-4753,Female 14-17,Caucasian or White,Finding Nemo,Up,Beauty and the Beast,Mary Poppins Returns,Aladdin
Tonya Thompson,harriszachary@example.org,233-20-4309,Female 18-24,Asian or Pacific Islander,Enchanted,50 First Dates,Scott Pilgrim vs. the World, , 
Erik Morales,amberfreeman@example.com,100-35-1559,Male 14-17,Caucasian or White,The Avengers,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,Captain America: Civil War,Fast and Furious
Donald Miller,martinezamanda@example.net,347-07-6149,Male 14-17,Asian or Pacific Islander,Avengers: Infinity War,Spider-Man,Iron Man,Dr. Strange, 
Emily Burton,crawfordwilliam@example.com,296-92-0592,Male 14-17,Asian or Pacific Islander,Harry Potter and the Half-Blood Prince,Harry Potter and the Chamber of Secrets,Black Panther,Fast and Furious,The Hangover
Maria Kennedy,richardevans@example.net,188-12-2289,Female 25-34,Caucasian or White,Interstellar,Big Fish,Willy Wonka & the Chocolate Factory,FernGully: The Last Rainforest,Alita: Battle Angel
Bryan Meadows,jenniferscott@example.com,735-48-6884,Female 14-17,Other,IT,Annabelle, , , 
Paul Parker,fward@example.com,798-61-8420,Female 14-17,Caucasian or White,Deadpool,Jumanji,21 Jump Street, , 
Ricky Parker,qweeks@example.org,144-45-6033,Female 14-17,Caucasian or White,Ferris Bueller's Day Off,Curly Sue,The Rage: Carrie 2,Spider-Man 3,Star Wars: Episode II - Attack of the Clones
Tiffany Moore,susan05@example.com,537-17-0506,Male 14-17,Caucasian or White,The Pursuit of Happyness,Avengers: Age of Ultron,Julie & Julia,Care Bears Movie II: A New Generation,Freaky Ali
April Villarreal,nicholassparks@example.com,792-76-6023,Male 14-17,Caucasian or White,Fast and Furious, , , , 
Richard Beck,matthew24@example.com,143-57-4388,Male 25-34,Caucasian or White,John Wick,Toy Story,The Equalizer,How High,Friday
Ashley Roach,leahwiggins@example.com,539-36-4831,Male 35-54,Asian or Pacific Islander,Friday,Forrest Gump,Saving Private Ryan,Dazed and Confused,Harold & Kumar Go to White Castle
Hannah Hernandez,hamiltonscott@example.com,528-71-3698,Female 25-34,Caucasian or White,south park,family guy, , , 
Lisa Hayes,coffeybarbara@example.net,789-97-7220,Male 18-24,African-American or Black,The avengers,Avengers: Endgame,Black Panther,Avengers: Infinity War,The Fate of the Furious
Patricia Petty,pjones@example.com,836-35-7920,Female 35-54,African-American or Black,Transformers,The Avengers,Acrimony,The Color Purple,Malcolm X
Desiree Garza,nixonkatherine@example.org,778-03-8575,Female 18-24,Caucasian or White,The Wolf of Wall Street,Pirates of the Caribbean: Dead Man's Chest, , , 
Kathy Bailey,qbaldwin@example.org,459-41-9009,Female 14-17,Caucasian or White,White Chicks,National Security,Friday,The Conjuring,Ip Man 2
Michelle Steele,bbaldwin@example.net,712-91-5536,Female 14-17,Other,The Goonies,Avatar,Avengers: Endgame,Ant-Man, 
Mrs. Sherry Williams,brownamy@example.net,686-83-2570,Male 35-54,Other,Pulp Fiction,Alexander,Troy,Krull,Star Wars: Episode III - Revenge of the Sith
Robert Johnson,gregoryrhonda@example.com,707-06-1102,Male 35-54,American Indian or Alaska Native,Three Godfathers,Black Angel,Gladiator,Titanic,The Matrix
Cody Jensen,heather78@example.net,024-42-7239,Female 18-24,African-American or Black,Frozen,The Polar Express,Aladdin,The King an I,Anastasia
Veronica Juarez,gregoryschroeder@example.com,236-35-9834,Male 35-54,African-American or Black,Color purple,The Sound of Music,The Wiz, , 
Betty Howell,diazdana@example.net,147-23-4379,Male 35-54,Caucasian or White,Goodfellas,Avengers: Endgame,Life Is Beautiful,Star Wars: Episode IV - A New Hope,Guardians of the Galaxy
Beth Harrison,doughertykayla@example.net,482-04-8907,Male 35-54,Caucasian or White,The color purple,Hidden Figures,The Help,Titanic,"To Wong Foo Thanks for Everything, Julie Newmar"
Stephanie Bennett,judithgraham@example.net,661-04-1363,Female 35-54,Other,Over the Top,Tender Mercies,Remember Me,El Cid,Ernest & Celestine
Rachel Ramirez,morriselizabeth@example.org,593-27-1002,Male 35-54,Caucasian or White,Donnie Darko,White Chicks,The Hot Chick,Legally Blonde,The Others
Kathryn Khan,pdavis@example.org,355-56-2612,Female 35-54,Caucasian or White,Sense and Sensibility,The Sound of Music,The Shawshank Redemption,Goodfellas,Selena
Jenna Knight,dalepaul@example.org,141-49-0918,Male 18-24,Caucasian or White,Amélie,Fight Club,Heathers,Alien,Spirited Away
Pamela Berry,tracey55@example.com,657-16-0449,Female 25-34,Other,50 First Dates,Bride of Chucky,Pineapple Express,Hocus Pocus,The Matrix Reloaded
Earl Jackson,loganfaith@example.com,183-43-5727,Female 35-54,Other,sixteen candles,The Breakfast Club,Grease,Saturday Night Fever,The Holiday
Joshua Fisher,malonechristina@example.net,309-38-8362,Female 35-54,African-American or Black,Labyrinth,Goonies,Legend,Big fish,Hocus Pocus
Steven Hill,janet51@example.com,815-98-3237,Female 35-54,Asian or Pacific Islander,Star Wars: Episode IV - A New Hope,Star Wars: Episode V - The Empire Strikes Back,Close Encounters of the Third Kind,Blade Runner,Die Hard
Daniel Cherry,rrocha@example.com,352-09-3448,Male 35-54,Asian or Pacific Islander,Almost famous,The Princess Bride,L.A. Confidential,The Fifth Element,Heat
Steven Stark,kevin45@example.net,835-15-5332,Male 35-54,Asian or Pacific Islander,Star Wars: Episode IV - A New Hope,Close Encounters of the Third Kind,National Lampoon's Animal House, , 
Brandon Alvarado,iwilson@example.org,171-47-8443,Female 35-54,Other,Willy Wonka & the Chocolate Factory,Footloose,Rocky, , 
Omar Mcclain,melissa19@example.net,624-12-9786,Female 25-34,African-American or Black,The Outsiders,Sleepy Hollow,Sweeney Todd: The Demon Barber of Fleet Street, , 
Tamara Stevens,keithlewis@example.org,836-58-3622,Female 35-54,Caucasian or White,The Matrix,Signs,Paul,Blade,Underworld
Juan Russell,vanessa03@example.net,873-20-3292,Female 35-54,American Indian or Alaska Native,Sling Blade,The Matrix,The Matrix Reloaded,The Matrix Revolutions,Home
Joanna Aguirre,smithcaitlin@example.org,020-57-8993,Male 35-54,African-American or Black,Avengers: Endgame,Avengers: Infinity War, , , 
Marc Doyle,hawkinsjoshua@example.org,119-72-1767,Female 35-54,Asian or Pacific Islander,Avengers: Endgame, , , , 
Michael Lambert,braunjennifer@example.net,440-07-1895,Female 18-24,African-American or Black,ATL,Black Panther,Reality High,Bird Box, 
Sharon Graham,lisa36@example.com,834-34-9914,Male 25-34,African-American or Black,Space Jam,The Pursuit of Happyness,The Rundown,National Lampoon's Christmas Vacation,Batman Forever
Christine Powell,matthewcoleman@example.com,081-82-9107,Female 35-54,African-American or Black,The Five Heartbeats,Friday, , , 
Courtney Willis,williamskayla@example.org,580-64-5268,Female 25-34,Caucasian or White,Training Day,American Gangster,Toy Story,The Notebook,The Dark Knight
Deborah Ramos,tamara79@example.com,408-82-6350,Female 35-54,African-American or Black,The Wiz,The color purple,Love & Basketball,Coming to America,The players club
Julia Delacruz,oscarbarajas@example.net,887-27-5069,Male 35-54,African-American or Black,Grease,The Godfather,Scarface,Coming to America,Super Troopers
Andre Brewer,udavis@example.com,867-11-0341,Female 25-34,Asian or Pacific Islander,Titanic,Spider-Man: Homecoming,Star Wars: Episode V - The Empire Strikes Back,Captain Marvel,The Notebook
Jeremy Crawford,munoztimothy@example.net,528-06-4535,Female 18-24,American Indian or Alaska Native,Fantastic Mr. Fox,The Cat in the Hat, , , 
Shawn Francis,simpsontony@example.com,191-52-7296,Female 25-34,Asian or Pacific Islander,Harry Potter and the Prisoner of Azkaban, , , , 
Kylie Schultz,amywhite@example.com,381-12-6283,Female 35-54,Asian or Pacific Islander,A Simple Favor,A Star Is Born,The Godfather: Part III,The Godfather,The Godfather: Part II
Courtney Sullivan,jrice@example.com,436-93-9159,Female 35-54,Other,A Walk to Remember,The Notebook,The Lion King,Frozen,The Ten Commandments
Dawn Hamilton,atkinsian@example.net,831-27-2602,Male 18-24,African-American or Black,Scream 2,Burke and Hare,Christopher Columbus: The Discovery,Hymen,Six Days Seven Nights
Melinda Morgan,jlong@example.com,629-43-0580,Female 35-54,Caucasian or White,Titanic,Grease,The Wedding Singer,Saturday Night Fever,Family Man
Lauren Rodriguez,donaldsonsandra@example.org,207-39-2543,Female 35-54,Caucasian or White,27 Dresses,Grease,Phantom of the Opera,The Five Heartbeats,The Last Dragon
Margaret Conway,gregoryariel@example.net,619-59-9442,Male 35-54,Asian or Pacific Islander,True Romance,Top Gun,Alien,Aliens,Children of Men
John Schroeder,dominiquehawkins@example.net,384-94-9366,Male 14-17,Caucasian or White,V for Vendetta,Blade Runner,Billy Madison,Braveheart,Last Action Hero
Erin Burke,vwilliams@example.net,754-95-6764,Female 18-24,Other,Twilight,P.S. I Love You,Coraline,Corpse Bride,The Nightmare Before Christmas
Michelle Chambers,hpierce@example.org,368-19-8932,Female 14-17,Caucasian or White,Die Hard,Field of Dreams,E.T,Mission: Impossible,Rocky IV
Patrick White,chris72@example.com,399-70-6545,Male 14-17,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,The Greatest Showman, , , 
Stacy Miller,thomasmeredith@example.org,040-03-6781,Female 18-24,Caucasian or White,Blade runner,The VVitch: A New-England Folktale,Train to busan,The Graduate,The Perfection
Seth Gould,zhammond@example.com,231-34-2076,Female 25-34,African-American or Black,American Beauty,LÃ©on: The Professional,Lolita,Secretary,The Fifth Element
Jade Johnson,maldonadoanthony@example.net,862-83-4357,Female 35-54,African-American or Black,New Jack City,Friday,Girls Trip,John Wick,John Wick: Chapter 2
Melissa Mccall,vaughncatherine@example.com,013-65-2196,Male 35-54,African-American or Black,The Outsiders,Training Day,Menace 2 Society,Set it Off,Dead Presidents
Aaron Carson,sharon63@example.com,385-22-3036,Female 25-34,Caucasian or White,The Rocky Horror Picture Show,Bachelorette,Life or something like it,Hostile,A lot like love
Brandi Walsh,irichards@example.net,777-53-8447,Male 35-54,Asian or Pacific Islander,Goodfellas,The Shawshank Redemption, , , 
Jonathan Erickson,sean36@example.net,511-07-4307,Female 35-54,Caucasian or White,Pretty in Pink,Some Kind of Wonderful,Ghostworld,The Outsiders,I heart huckabees
Gary Sosa,smiller@example.org,511-82-6813,Female 25-34,American Indian or Alaska Native,Pan's Labyrinth,Spirited Away,"Monsters, Inc.",James and the Giant Peach,Harry Potter and the Prisoner of Azkaban
Lisa Reese,owenanthony@example.net,568-30-9461,Female 35-54,African-American or Black,Dune,Alien,Legends of the Fall,The Accountant,Terminator
Anthony Cole,lewisgilbert@example.com,697-07-8593,Female 35-54,Caucasian or White,Gone with the Wind,The Deer Hunter,Sense and Sensibility,Pride & Prejudice,The Wizard of Oz
Adam Mccarthy,jacksonmichelle@example.net,125-99-4418,Female 25-34,Caucasian or White,Harry Potter and the Sorcerer's Stone,The Princess Bride,Mary Poppins,Home Alone,The Sandlot
Jacqueline Vazquez,xtodd@example.com,695-36-7465,Female 35-54,Caucasian or White,Grumpy old men,Dumb and Dumber,Nacho Libre, , 
Scott Garcia,mcompton@example.com,521-82-6094,Female 35-54,Asian or Pacific Islander,Star Wars: Episode V - The Empire Strikes Back,Jurassic Park,Back to the Future,Toy Story,The Lion King
Timothy Hughes,santanasavannah@example.com,669-05-5098,Male 35-54,Caucasian or White,Titanic,Independence Day,I Am Legend,Forrest Gump,A Few Good Men
William Downs,kennethfrazier@example.com,049-17-5532,Male 35-54,Caucasian or White,National Lampoon's Vacation,As Good as It Gets,City Slickers,Tombstone,Aliens
Jesus Mann,sarah69@example.org,894-62-6286,Female 35-54,American Indian or Alaska Native,Ghost,The Wedding Singer,Dirty Rotten Scoundrels, , 
Misty Jones,susanmurphy@example.net,145-98-1894,Female 35-54,Caucasian or White,Magnolia,Gone with the Wind,West Side Story,To Kill a Mockingbird,Wait Until Dark
Cindy Hernandez,fieldsstephen@example.org,613-79-9446,Male 35-54,African-American or Black,Act of Valor,Rules of Engagement,Air Force One,We Were Soldiers,Friday
Tamara Cisneros,jlong@example.net,424-13-1648,Female 35-54,Caucasian or White,Love Story,Me Before You,Dear John, , 
Mario Garcia,benjamin83@example.org,436-17-3924,Female 25-34,Caucasian or White,The Fifth Element,Up,Coco,The Bourne Identity,The Phantom of the Opera
Shawn Black,groberts@example.net,095-34-5201,Female 25-34,Caucasian or White,Step Brothers,Grandma's Boy,Hocus Pocus,Edward Scissorhands,Room
Deanna Sweeney,jasoncobb@example.net,560-86-6349,Female 25-34,Asian or Pacific Islander,Baby's Day Out,Fast and Furious,Escape Plan,Annabelle, 
Wendy King DDS,briannaharrison@example.org,159-39-6422,Female 35-54,Caucasian or White,Dirty Dancing,Speed,Armageddon,Titanic,A Star Is Born
Tonya Guerrero,leejeffery@example.org,282-29-9562,Female 25-34,Caucasian or White,Remember the Titans,My Cousin Vinny,The Shawshank Redemption,Annie,Stand and Deliver
Stefanie Mason,nelsonkimberly@example.org,722-08-0748,Female 14-17,Caucasian or White,riverdale,What a Girl Wants,13 Going on 30,stranger things, 
Samantha Hernandez,snowjonathan@example.org,438-56-5902,Female 18-24,Caucasian or White,It,Halloween,Titanic,Bridge to Terabithia,The Notebook
Jessica Shepard,lindseyallen@example.net,530-49-9039,Male 14-17,American Indian or Alaska Native,How to Train Your Dragon,The Greatest Showman,The Lion King,Black Panther,Marvel
Juan Martinez,perrytracy@example.net,743-62-7739,Female 35-54,Asian or Pacific Islander,Ghost in the Shell 2: Innocence, , , , 
Mark Wilson,taylorrodney@example.org,648-22-9927,Female 35-54,Caucasian or White,Beaches,The Shawshank Redemption,Titanic,Cast Away, 
David Cruz MD,cdavila@example.net,782-29-0340,Female 25-34,African-American or Black,Forrest Gump,The Family Stone,The League of Extraordinary Gentlemen,Hocus Pocus,Love & Other Drugs
Kimberly Estes,shawn21@example.com,823-02-4096,Male 14-17,Caucasian or White,Wayne's World,It,Grown Ups, , 
Kevin Wilson,dorothywilson@example.com,048-22-1060,Female 14-17,Caucasian or White,Frozen,Star Wars: Episode IV - A New Hope,The Greatest Showman,White Christmas,The Nightmare Before Christmas
Rebecca Gomez,becky49@example.net,183-26-0970,Female 14-17,Caucasian or White,Footloose,The Descendants,Dolphin Tale,Dolphin Tale 2,Man of the House
Krista Brady,vmorgan@example.org,769-23-7443,Female 35-54,Asian or Pacific Islander,The Lord of the Rings: The Return of the King,Toy Story,The Hobbit: The Battle of the Five Armies,Harry Potter and the Deathly Hallows: Part 2,The Nightmare Before Christmas
Angela Lopez,ylopez@example.net,571-42-6337,Female 14-17,African-American or Black,Purple Rain,New Jack City,ATL, , 
Ian Campos,alyssabaker@example.org,462-07-9008,Female 14-17,Caucasian or White,The Wizard of Oz,Scream,The Conjuring,The Sixth Sense,Pretty Woman
Veronica Warner,ahull@example.com,638-68-1143,Female 25-34,Caucasian or White,New Year's Eve,Mask,The 16th Episode,Life of Pi,Black Beauty
Dr. Heidi Williams,lbrady@example.net,447-67-1362,Female 14-17,Caucasian or White,Bohemian Rhapsody,"Love, Simon",Captain Marvel,The Breakfast Club,Burn the stage
Gregory Barker,collierlaurie@example.net,647-25-5453,Male 14-17,Caucasian or White,Fast and Furious,Halloween,Super Troopers,Super Troopers 2,The Fast and the Furious: Tokyo Drift
Micheal Brown,hjackson@example.org,085-70-0585,Male 35-54,Caucasian or White,Frozen,Grease,Grease 2,High School Musical 1, 
Brian Burgess,jsilva@example.net,659-50-3257,Female 18-24,Caucasian or White,Avengers: Endgame,Spider-Man: Far from Home,Spider-Man: Homecoming,Avengers: Infinity War,Deadpool
Michael Lopez,michael15@example.net,484-03-4260,Female 18-24,Caucasian or White,Mamma Mia!,The Greatest Showman,Hocus Pocus,Harry Potter and the Half-Blood Prince,The Little Mermaid
Jesse Fitzgerald,kking@example.org,727-43-6441,Male 14-17,Caucasian or White,Father of the Bride,Night at the Museum,My Best Friend's Wedding,The Lion King,Dunkirk
Erica Webster,gmartinez@example.net,435-82-0357,Female 14-17,Caucasian or White,The Champ,Moulin Rouge,The Patriot,Shenandoah,We Were Soldiers
Tony Smith,james88@example.org,244-89-4164,Male 14-17,Caucasian or White,Avengers: Infinity War,Annihilation,Jurassic World: Fallen Kingdom,Jurassic Park III,Transporter 2
Donna Payne,paynekevin@example.org,664-82-8033,Male 35-54,Caucasian or White,Beverly Hills Cop,Lethal Weapon 3,Lethal Weapon 4,Grease, 
Nathan Rodriguez,vincentdavis@example.net,021-86-4339,Male 35-54,Caucasian or White,Pink Floyd: The Wall,1984,Casablanca,Star Wars: Episode V - The Empire Strikes Back, 
Brian Cummings,bryan86@example.net,142-81-2482,Female 18-24,Caucasian or White,Avengers: Endgame,Avengers: Infinity War,Black Panther,Spider-Man: Far from Home,Thor: Ragnarok
Randall Martinez,brice@example.net,184-24-4493,Male 35-54,Caucasian or White,Goodfellas,The Hangover,Caddyshack,Stripes,National Lampoon's Vacation
Mr. Andrew Mcmillan,donaldmartinez@example.com,876-27-1580,Male 25-34,Other,Jaws,Terminator 2: Judgment Day,Wayne's World,Avengers: Endgame,Forrest Gump
Adam Anderson,vaughnjohn@example.net,074-26-2405,Female 14-17,Asian or Pacific Islander,Kiki's Delivery Service,The Secret World of Arrietty,A Dog's Purpose,A Dog's Journey,The Sorcerer's Apprentice
Joseph Davis,nkhan@example.com,296-53-1137,Male 35-54,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Spider-Man 2,Casablanca,Avengers: Endgame,joker
Rebecca Sanders,tammy10@example.net,081-98-1899,Male 25-34,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Back to the Future,Jurassic Park,The Dark Knight,Forrest Gump
Robert Cooley,wmiller@example.org,439-70-4511,Male 35-54,Caucasian or White,Fast and Furious,The Avengers,Fight Club,The Godfather,Bird Box
Sarah Payne,ashleychan@example.com,595-30-5041,Male 35-54,Caucasian or White,The Untouchables,The Dark Knight Rises,Superbad, , 
James Frank,harringtonalex@example.net,703-97-6844,Male 25-34,Caucasian or White,Dawn of the Dead,Cast Away,Day of the Dead,Night of the Living Dead,Aladdin
Ryan Watson MD,kristinvance@example.net,167-21-6332,Female 18-24,Caucasian or White,Bohemian Rhapsody,Breakthrough,All Dogs Go to Heaven,A Star Is Born,Pitch Perfect
Donna Thomas,christopher80@example.org,170-46-2007,Male 18-24,African-American or Black,Out of Sight,Coach Carter,Rebound,Above the Rim,The 40-Year-Old Virgin
Dorothy Gonzales,warrenmary@example.com,439-68-9189,Male 14-17,Caucasian or White,The Cowboy Way,Fast and Furious,The Longest Ride,Rambo: First Blood Part II,Rambo
Raymond Lopez,wellsdarryl@example.com,588-46-0631,Male 25-34,Caucasian or White,The Godfather, , , , 
Jeffrey Mason,qfrederick@example.org,539-54-0920,Female 25-34,Caucasian or White,The Conjuring,It,She's the Man,Bee Movie,Open Season
Daniel Watson,ifernandez@example.org,557-61-8416,Female 18-24,Caucasian or White,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 1,The Lord of the Rings: The Fellowship of the Ring,The Mortal Instruments: City of Bones,Jumanji: Welcome to the Jungle
Kimberly Palmer,mccoykenneth@example.org,589-37-3866,Female 18-24,Caucasian or White,Finding Nemo, , , , 
Bianca Anderson,gracepope@example.net,662-44-4002,Male 25-34,Caucasian or White,North Shore,Saints and Soldiers,Little Big League,Call of the Wild,Rugrats in Paris: The Movie
Kaylee Wright,richardsondavid@example.net,267-79-0310,Male 14-17,Caucasian or White,The Wizard of Oz,Willy Wonka & the Chocolate Factory,The Crow,Friday,The Beach Bum
Hunter Adams,lisahatfield@example.com,397-35-5900,Female 14-17,Caucasian or White,Downton abby,it, , , 
Krista Meyer,ljones@example.org,519-63-1992,Female 14-17,African-American or Black,Percy Jackson: Sea of Monsters,Coraline,Avengers: Endgame,The Secret Life of Pets,The Secret Life of Pets 2
Belinda Mitchell,danielgarcia@example.com,548-04-4106,Female 18-24,Caucasian or White,Up,Harry Potter and the Sorcerer's Stone,Warm Bodies,How to Train Your Dragon,Pan's Labyrinth
Crystal Carrillo,jacksonandrea@example.org,776-51-3698,Female 18-24,Asian or Pacific Islander,After,Baywatch,Crazy Rich Asians,Divergent,The Twilight Saga: Eclipse
Bryan Sullivan,michael90@example.com,379-76-5016,Female 14-17,Caucasian or White,Mamma Mia!,Pitch Perfect,The Princess Diaries,Despicable Me,Hotel Transylvania
John Christensen,christopher95@example.org,122-67-9271,Female 14-17,Caucasian or White,Spider-Man: Homecoming,Avengers: Endgame,Batman,Harry Potter and the Goblet of Fire,Spider-Man: Into the Spider-Verse
Jeffrey Jones,simoncourtney@example.org,022-07-7037,Female 18-24,Caucasian or White,A Star Is Born,Bohemian Rhapsody,A Quiet Place,It,It: Chapter 2
Christopher Harris,olsonsean@example.com,489-29-7491,Female 18-24,Caucasian or White,Fifty shades of grey,The Fate of the Furious,The Notebook,Another Cinderella’s story,Fifty Shades Darker
Emily Rojas,debbieanderson@example.com,309-23-1566,Male 35-54,African-American or Black,Interstellar, , , , 
Colleen Garcia,sonyahayden@example.com,434-76-7266,Male 35-54,Caucasian or White,The color purple,Lethal Weapon,The Silence of the Lambs,A Clockwork Orange,E.T.
Joseph Delacruz,kerralison@example.com,798-85-3068,Male 18-24,Caucasian or White,Avengers: Endgame,Avengers: Infinity War,Beowulf,I Am Legend,Scent of a Woman
Kellie Ramos,martinezwilliam@example.com,013-70-6944,Male 35-54,Caucasian or White,21,Pet Sematary,Requiem for a Dream,Misery,Captain Phillips
Katherine Allen,crystal82@example.com,549-93-0244,Male 14-17,Caucasian or White,Annihilation,The Road to El Dorado, , , 
Matthew Herrera,haleymartin@example.com,247-40-1460,Male 25-34,Asian or Pacific Islander,The Sword in the Stone,Jaws,The Lord of the Rings: The Return of the King,The Perks of Being a Wallflower,Requiem for a Dream
Emily Mccall,donaldmckinney@example.net,219-78-6836,Male 35-54,Other,Scarface,Superman,Jurassic Park III,Fast and Furious, 
Lance Campbell,anne59@example.net,108-51-4529,Female 18-24,Caucasian or White,Spirited Away,A Fantastic Woman,Raw,Hereditary,Doom
Denise Wilson,evan52@example.org,292-03-8791,Male 25-34,Asian or Pacific Islander,Independence Day,The Matrix,Braveheart,Avengers: Infinity War,The Dark Knight
Timothy Knox,robertsdawn@example.com,302-07-5318,Male 35-54,Caucasian or White,Blackhawk down,Saving Private Ryan,We Were Soldiers,Legends of the Fall,Gettysburg
Edward Goodwin,tallison@example.net,667-99-4870,Male 35-54,Caucasian or White,Star Wars: Episode II - Attack of the Clones,Tootsie,Chappie,District 9,Heat
Anthony Parker,meganbarrera@example.org,621-01-4865,Male 35-54,Asian or Pacific Islander,Avengers: Endgame,The Lord of the Rings,Mouse hunt, , 
Monica Petersen,ztorres@example.net,856-57-7981,Male 18-24,Caucasian or White,Avengers: Endgame,Avengers: Infinity War,Thor: Ragnarok,Thor,The Avengers
Ethan Sanders,brandonbullock@example.net,684-71-4987,Male 35-54,Asian or Pacific Islander,Mahabharat,Ramayana: The Legend of Prince Rama,Munna Bhai M.B.B.S.,Nude Nuns with Big Guns,Super Dark Times
Anthony Collier,banderson@example.org,008-56-5077,Male 25-34,Caucasian or White,Jerry Maguire,Private Parts,Clerks,Back to the Future,Titanic
Robert Valdez,daviskristin@example.net,265-95-3082,Male 35-54,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,The Ten Commandments,The Great Escape,"The Good, the Bad and the Ugly",The Unforgiven
Emily Valencia,samuel00@example.com,847-01-3521,Male 35-54,Caucasian or White,Top Gun,A League of Their Own,Pineapple Express,Rambo,Frozen
Thomas Hernandez,timothy20@example.org,485-80-1238,Male 35-54,Caucasian or White,Iron Man 2,Avengers: Endgame,Captain America,Thor: Ragnarok,Hulk
Albert Rodriguez,kcantu@example.org,313-87-5864,Male 25-34,Caucasian or White,Avengers: Infinity War,The Dark Knight,Guardians of the Galaxy,Forrest Gump,John Wick
Jeremy Lee,gregory61@example.com,148-26-3341,Male 35-54,Caucasian or White,Top Gun,Vision Quest,Footloose,Flashdance,Iron Eagle
Stephen Hopkins,debra12@example.com,501-15-3704,Female 18-24,Caucasian or White,The Benchwarmers,Pirates of the Caribbean: The Curse of the Black Pearl,Beavis and Butt-Head Do America,Finding Nemo,The Ringer
Jose Davis,allensusan@example.org,862-63-0765,Male 35-54,Caucasian or White,The Godfather,The Godfather: Part II,Gladiator,Office Space, 
Thomas Stanton,zperry@example.org,701-44-7015,Male 25-34,Caucasian or White,Pump Up the Volume,abbott and costello meet frankenstein,The Matrix,The Court Jester,Charade
Deborah Cox,pedwards@example.com,665-89-8201,Male 35-54,Caucasian or White,Predator,This Is the End,Evil Dead,Black Water,Universal Soldier
Elizabeth Dunlap,sanchezalyssa@example.org,052-36-6943,Female 18-24,Asian or Pacific Islander,Spirited Away,Ghost in the Shell,The Handmaiden,Akira,Moonlight
Steven Davis,theresaturner@example.net,411-90-6549,Male 25-34,African-American or Black,Nada a Perder,Meet Joe Black,Meet the Blacks,No Name on the Bullet,My Name Is Lenny
